Depth,RES,DEN,NG,CAL,FCRES,FCDEN,FCNG,FCCAL,CLRES,CLDEN,CLNG,CLCAL,ELRES,ELDEN,ELCG,ELCAL
55.85,17.93,2.4,8.37,159.78,17.24403243,2.396043528,6.688395356,149.6516781,17.1556279,2.394385747,7.119027553,144.1205035,17.49040485,2.403757689,8.677845632,160.1400728
55.9,18.14,2.4,8.99,159.78,17.40794128,2.395635308,7.089858299,149.6621337,17.31987272,2.392329325,7.636786839,144.1725789,17.70007163,2.40376353,9.341772464,160.1213347
55.95,18.53,2.4,9.67,159.78,17.72419371,2.395511674,7.575763838,149.671721,17.64131317,2.391123289,8.127841508,144.1866539,18.09294553,2.403760459,10.03207743,160.1185408
56,18.97,2.4,10.53,159.56,18.07904415,2.395456599,8.194383194,149.4853156,17.99373461,2.390542235,8.72502173,144.1185464,18.53585339,2.403764431,10.90955993,159.8977724
56.05,19.46,2.4,11.44,159.56,18.47624835,2.395465377,8.861081005,149.4645664,18.37476747,2.390332717,9.414608419,144.0987105,19.02949462,2.403751647,11.8381864,159.8953925
56.1,19.86,2.39,12.39,159.56,18.79856958,2.388966231,9.545709942,149.4353772,18.66968583,2.388553638,10.17460811,144.0918564,19.43116364,2.393447074,12.80983909,159.893206
56.15,20.179998,2.3800004,13.169999,159.56,19.05081012,2.382427664,10.09242349,149.3920342,18.88715992,2.385577268,10.85500104,144.0758423,19.75223989,2.383133388,13.64381258,159.8762764
56.2,20.31,2.3800004,13.91,159.56,19.149943,2.382355399,10.60604228,149.3444263,18.94349681,2.383896556,11.47121133,144.0519888,19.88169521,2.383121004,14.43551632,159.8602286
56.25,20.21,2.3800004,14.82,159.56,19.07063015,2.382233334,11.24151813,149.308925,18.83082006,2.383165498,12.16833364,144.0337006,19.77847881,2.383094368,15.35713997,159.8594728
56.3,19.909998,2.39,15.15,159.56,18.83156928,2.388426432,11.46167719,149.2716781,18.56962312,2.38445281,12.4873532,144.0153516,19.47273621,2.393345002,15.68789295,159.858636
56.35,19.389997,2.4,15.39,159.56,18.42236499,2.394687523,11.62501695,149.2718536,18.16077263,2.386878333,12.60679772,144.012497,18.94619042,2.403607552,15.88555839,159.8735275
56.4,18.74,2.42,14.910001,159.78,17.91186119,2.407299926,11.27987976,149.4775234,17.67729636,2.391148457,12.20957182,144.0954623,18.28915095,2.424166331,15.3504421,160.1060787
56.45,18,2.42,14.46,160.67,17.33420742,2.407056696,10.95577671,150.2790939,17.16363292,2.393681158,11.72710899,144.432261,17.54255564,2.424159055,14.80536447,161.0190658
56.5,17.37,2.43,13.870001,161.78,16.82574167,2.412930762,10.46675772,151.250284,16.71478336,2.395892824,11.19974715,144.8929926,16.90537784,2.434485224,14.1911784,162.1200059
56.55,16.95,2.44,13.870001,164.89,16.48687525,2.418801423,10.39582999,153.8383728,16.43103115,2.398069876,11.05545065,145.950556,16.64962089,2.444835894,14.13965585,165.2223751
56.6,16.84,2.45,14.15,168.89,16.3683616,2.42386055,10.42107305,157.1024616,16.37742949,2.399696515,11.24470313,147.369442,16.51690409,2.455272179,14.38656954,165.8783818
56.65,16.95,2.4700003,14.600001,172.66,16.41099333,2.435098923,10.52954202,160.1380933,16.49618916,2.402050674,11.66131753,148.7765317,16.58884222,2.460138946,14.81918394,169.1203627
56.7,17.35,2.48,14.549999,171.55,16.69116076,2.440053275,10.32692578,159.2351883,16.86879112,2.403774612,11.81102122,149.2280967,16.93990941,2.470764788,14.71816861,167.9052975
56.75,17.91,2.49,14.43,168.22,17.15281016,2.447119457,10.33447598,156.5305585,17.34707937,2.406316793,11.76040172,148.5046687,17.47669524,2.480620053,14.56905399,165.1412859
56.8,18.75,2.48,14,168,17.86798448,2.442210267,10.25547913,156.3400186,18.03233856,2.407837154,11.44756597,147.9782456,18.30309172,2.470092877,14.10132479,165.4177109
56.85,19.829998,2.48,13.690001,168.66,18.7255106,2.442702835,10.08321584,156.8517346,18.8778579,2.408913113,11.21647791,147.9500821,19.37741333,2.47144945,13.84805223,166.1189366
56.9,21.439999,2.4700003,13.34,170.88002,20.00367175,2.436442645,9.867212202,158.6464276,20.1630868,2.408279621,11.05665171,148.5312395,20.97042808,2.460982857,13.52834704,168.2188974
56.95,23.44,2.46,13.200001,172.88,21.56759194,2.429789356,9.72768521,160.2390139,21.75989966,2.406003802,11.1125749,149.2616049,22.94380675,2.451442386,13.47885497,169.9525395
57,25.85,2.45,13.11,170.66,23.45993041,2.423328061,9.653217511,158.4121804,23.73114366,2.402860673,11.30223028,149.1406504,25.30546368,2.441799109,13.49073704,167.6081818
57.05,27.99,2.44,13.46,165.78,25.18786649,2.418663035,10.12515979,154.4024792,25.55016301,2.400736092,11.77630723,147.609331,27.59164007,2.433072208,13.94003982,163.1443153
57.1,29.47,2.42,13.710001,164.22,26.42230404,2.408394944,10.65112261,153.0355157,26.89934806,2.398684643,12.19027917,146.3498296,29.10440248,2.413990599,15.01067806,164.5702511
57.15,29.960001,2.41,14.039999,163.34,26.81781284,2.403098061,11.00526462,152.2089041,27.47544617,2.396961506,12.58214511,145.6590505,29.6047153,2.414940988,15.71775616,163.668264
