Depth,Dense,Res,Ng,Cal,SP
74.55,2.27,11.5,11.23,154.69,-230
74.6,2.28,11.2,11.24,152.54,-229.83
74.65,2.29,11.02,10.69,151.68,-230.11
74.7,2.3,10.94,9.99,152.27,-230.68
74.75,2.31,10.98,9.14,154.13,-231.54
74.8,2.32,11.11,8.42,156.67,-232.79
74.85,2.33,11.32,7.71,159.45,-234.39
74.9,2.34,11.6,7.03,162.03,-236.16
74.95,2.34,11.99,5.95,164.16,-237.8
75,2.34,12.53,5.2,165.73,-239.12
75.05,2.33,13.18,4.43,166.82,-239.95
75.1,2.32,13.89,4.53,167.53,-240.16
75.15,2.31,14.66,4.59,167.89,-239.61
75.2,2.31,15.45,5.02,167.93,-238.39
75.25,2.29,16.15,5.72,167.65,-236.79
75.3,2.28,16.56,6.55,167.16,-235.26
75.35,2.27,16.66,7.25,166.47,-234.22
75.4,2.26,16.52,7.56,165.66,-234.03
75.45,2.25,16.34,7.76,164.74,-234.82
75.5,2.24,16.1,8.07,163.86,-236.53
75.55,2.24,15.78,8.77,162.97,-238.71
75.6,2.23,15.31,9.57,161.82,-240.89
75.65,2.23,14.82,10.27,160.21,-242.31
75.7,2.22,14.35,10.57,158.5,-242.51
75.75,2.22,14.01,10.77,157.17,-241.37
75.8,2.22,13.84,10.47,156.65,-239.46
75.85,2.22,13.83,9.65,156.82,-237.57
75.9,2.22,13.94,8.62,157.32,-236.16
75.95,2.23,14.07,8.05,157.59,-235.15
76,2.24,14.2,8.14,157.25,-234.01
76.05,2.25,14.35,8.44,156.53,-232.62
76.1,2.26,14.51,9.12,155.83,-231.11
76.15,2.27,14.64,9.51,155.41,-229.92
76.2,2.28,14.7,9.93,155.19,-229.13
76.25,2.28,14.66,9.69,155.06,-228.46
76.3,2.29,14.52,9.52,154.9,-227.43
76.35,2.3,14.36,9.24,154.67,-225.77
76.4,2.31,14.25,9.35,154.37,-223.69
76.45,2.31,14.26,9.52,154.12,-221.86
76.5,2.32,14.39,9.97,154.06,-220.96
76.55,2.33,14.6,10.3,154.09,-221.33
76.6,2.33,14.81,10.66,154.17,-222.7
76.65,2.33,14.97,10.99,154.19,-224.49
76.7,2.33,15.09,10.93,154.21,-226.06
76.75,2.32,15.21,10.78,154.22,-227.24
76.8,2.33,15.33,10.14,154.22,-228.19
76.85,2.33,15.45,9.99,154.27,-229.46
76.9,2.33,15.53,9.83,154.28,-231.34
76.95,2.33,15.56,10.56,154.25,-233.87
77,2.33,15.5,11.48,153.98,-236.44
77.05,2.34,15.42,12.61,153.56,-238.24
77.1,2.34,15.4,13.22,153.03,-238.6
77.15,2.34,15.52,13.57,152.57,-237.42
77.2,2.34,15.74,13.76,152.15,-235.17
77.25,2.34,15.97,13.66,151.75,-232.47
77.3,2.34,16.1,13.28,151.28,-230.03
77.35,2.34,16.07,12.79,150.79,-228.39
77.4,2.33,15.91,12.82,150.33,-227.9
77.45,2.33,15.74,12.92,150.01,-228.51
77.5,2.32,15.63,13.15,149.86,-229.88
77.55,2.31,15.62,12.81,149.85,-231.53
77.6,2.31,15.71,12.39,149.95,-233.14
77.65,2.3,15.85,11.84,150.02,-234.51
77.7,2.29,15.98,11.85,150,-235.65
77.75,2.29,15.96,11.94,149.92,-236.56
